# epoch	training_loss	training_acc	validation_loss	validation_acc
386	0.0114	0.9971	0.3440	0.9488
387	0.0070	0.9977	0.2217	0.9699
388	0.0099	0.9977	0.2092	0.9671
389	0.0094	0.9977	0.1587	0.9699
390	0.0065	0.9971	0.1828	0.9683
391	0.0067	0.9977	0.2231	0.9687
392	0.0127	0.9963	0.1582	0.9636
393	0.0052	0.9979	0.1640	0.9730
394	0.0118	0.9969	0.1323	0.9726
395	0.0093	0.9953	0.1872	0.9664
396	0.0036	0.9987	0.2157	0.9758
397	0.0077	0.9979	0.2899	0.9648
398	0.0098	0.9979	0.2293	0.9625
399	0.0104	0.9963	0.1713	0.9715
400	0.0097	0.9956	0.1788	0.9679
401	0.0098	0.9969	0.2158	0.9675
402	0.0119	0.9956	0.1871	0.9550
403	0.0054	0.9987	0.1965	0.9730
404	0.0117	0.9974	0.2880	0.9589
405	0.0071	0.9984	0.2817	0.9531
406	0.0135	0.9966	0.1853	0.9726
407	0.0096	0.9969	0.1973	0.9597
408	0.0098	0.9969	0.1669	0.9711
409	0.0147	0.9963	0.2150	0.9601
410	0.0052	0.9979	0.1428	0.9711
411	0.0044	0.9987	0.1796	0.9754
412	0.0050	0.9979	0.1751	0.9793
413	0.0084	0.9977	0.1671	0.9652
414	0.0097	0.9971	0.2509	0.9609
415	0.0109	0.9971	0.2270	0.9664
416	0.0070	0.9971	0.2280	0.9703
417	0.0086	0.9979	0.2069	0.9664
418	0.0129	0.9974	0.1306	0.9675
419	0.0119	0.9966	0.1356	0.9683
420	0.0060	0.9984	0.1876	0.9699
421	0.0062	0.9984	0.2168	0.9691
422	0.0038	0.9990	0.2288	0.9683
423	0.0117	0.9963	0.2385	0.9601
424	0.0045	0.9982	0.1842	0.9715
425	0.0185	0.9974	0.1813	0.9671
426	0.0109	0.9969	0.4341	0.9308
427	0.0046	0.9982	0.1539	0.9734
428	0.0066	0.9979	0.1735	0.9691
429	0.0088	0.9977	0.1311	0.9734
430	0.0122	0.9963	0.1614	0.9699
431	0.0062	0.9974	0.1657	0.9746
432	0.0063	0.9977	0.1864	0.9625
433	0.0067	0.9984	0.1607	0.9754
434	0.0049	0.9992	0.2213	0.9707
435	0.0054	0.9984	0.1945	0.9711
436	0.0067	0.9984	0.2154	0.9664
437	0.0097	0.9982	0.2087	0.9715
438	0.0111	0.9971	0.2073	0.9636
439	0.0087	0.9963	0.2591	0.9515
440	0.0080	0.9969	0.1787	0.9640
441	0.0127	0.9969	0.1140	0.9734
442	0.0046	0.9982	0.1528	0.9797
443	0.0076	0.9977	0.2006	0.9722
444	0.0101	0.9982	0.1854	0.9675
445	0.0066	0.9982	0.1758	0.9711
446	0.0033	0.9990	0.2869	0.9636
447	0.0124	0.9963	0.1918	0.9718
448	0.0054	0.9984	0.2058	0.9746
449	0.0084	0.9990	0.2111	0.9726
450	0.0090	0.9982	0.1508	0.9761
451	0.0078	0.9982	0.1844	0.9691
452	0.0060	0.9990	0.2458	0.9640
453	0.0056	0.9979	0.2092	0.9566
454	0.0034	0.9997	0.1890	0.9734
455	0.0054	0.9982	0.3400	0.9566
456	0.0075	0.9977	0.2635	0.9687
457	0.0061	0.9974	0.2061	0.9703
458	0.0031	0.9987	0.1919	0.9758
459	0.0106	0.9953	0.2653	0.9625
460	0.0043	0.9992	0.2495	0.9726
461	0.0035	0.9987	0.2228	0.9722
462	0.0035	0.9987	0.2047	0.9754
463	0.0064	0.9974	0.1970	0.9722
464	0.0035	0.9987	0.2578	0.9671
465	0.0035	0.9987	0.3561	0.9566
466	0.0070	0.9974	0.2270	0.9707
467	0.0128	0.9969	0.2351	0.9664
468	0.0105	0.9966	0.2241	0.9585
469	0.0060	0.9990	0.2027	0.9660
470	0.0055	0.9977	0.1629	0.9742
471	0.0113	0.9963	0.2489	0.9515
472	0.0045	0.9984	0.1667	0.9726
473	0.0029	0.9984	0.1741	0.9773
474	0.0068	0.9974	0.2292	0.9691
475	0.0038	0.9987	0.1736	0.9738
476	0.0132	0.9974	0.1310	0.9754
477	0.0040	0.9990	0.1824	0.9722
478	0.0078	0.9977	0.1440	0.9738
479	0.0061	0.9979	0.1632	0.9722
480	0.0128	0.9969	0.1823	0.9644
481	0.0095	0.9969	0.1535	0.9683
482	0.0045	0.9979	0.1706	0.9754
483	0.0048	0.9984	0.2430	0.9703
484	0.0090	0.9977	0.1552	0.9758
485	0.0054	0.9977	0.2419	0.9691
486	0.0067	0.9982	0.1625	0.9754
487	0.0096	0.9979	0.1858	0.9640
488	0.0085	0.9979	0.1664	0.9722
489	0.0047	0.9990	0.1530	0.9738
490	0.0104	0.9977	0.1538	0.9730
491	0.0092	0.9977	0.1832	0.9707
492	0.0066	0.9977	0.2065	0.9605
493	0.0026	0.9990	0.1667	0.9793
494	0.0056	0.9987	0.2119	0.9671
495	0.0028	0.9984	0.2070	0.9699
496	0.0093	0.9969	0.1912	0.9758
497	0.0074	0.9987	0.1563	0.9742
498	0.0043	0.9984	0.2200	0.9722
499	0.0115	0.9963	0.1869	0.9648
500	0.0030	0.9992	0.1424	0.9761
501	0.0045	0.9984	0.2091	0.9679
502	0.0023	0.9990	0.2024	0.9746
503	0.0092	0.9977	0.2034	0.9711
504	0.0048	0.9984	0.1860	0.9761
505	0.0021	1.0000	0.2446	0.9734
506	0.0065	0.9966	0.2143	0.9750
507	0.0068	0.9982	0.1520	0.9769
508	0.0039	0.9987	0.2015	0.9715
509	0.0086	0.9979	0.1912	0.9722
510	0.0064	0.9984	0.2042	0.9734
511	0.0025	0.9987	0.2757	0.9546
512	0.0039	0.9992	0.1805	0.9746
513	0.0052	0.9984	0.2069	0.9707
514	0.0094	0.9974	0.2012	0.9730
515	0.0066	0.9966	0.1882	0.9695
516	0.0079	0.9979	0.1652	0.9722
517	0.0062	0.9971	0.1910	0.9675
518	0.0057	0.9987	0.1998	0.9758
519	0.0069	0.9984	0.2952	0.9562
